ID,region,county,lat,long,condition_rate,inspection_date,bridge_length_ft,curb_to_curb_width_ft,deck_area_sq_ft,aadt,year_of_aadt,material,structure,year,popz
14688,4,#N/A,42.91624202,-78.19804595,5.37,42908,67,30.9,2144,-0.4,2011,4,3,1991,-0.6
14689,7,#N/A,44.52345003,-73.45998606,3.55,40057,136,15.2,2434,-0.4,2016,4,11,1900,-0.6
14690,5,#N/A,42.424359,-79.40207297,5,42828,45,39,3195,-0.4,2016,3,19,1955,-0.5
14691,7,#N/A,43.80819897,-75.54726894,5.57,43356,40,23.5,959,-0.4,2014,4,3,1990,-0.7
14692,1,#N/A,44.28437899,-73.53192905,4.89,42836,101,41.5,4500,-0.4,2014,4,3,1965,-0.6
14693,1,#N/A,43.195641,-73.29627999,5.86,43292,35,24,910,-0.4,2013,4,3,1942,-0.6
14694,8,#N/A,41.95308697,-73.78554199,4.26,42858,32,20.5,694,-0.4,2015,11,3,1939,-0.2
14695,8,#N/A,41.78319501,-73.74387803,6.14,42842,60,29.3,1938,-0.4,2015,6,6,1979,-0.2
14696,7,#N/A,44.39288396,-75.72900601,7,43300,47,15.7,907,-0.4,2016,6,6,1998,-0.5
14697,9,#N/A,41.82272503,-74.95479901,5.13,42983,37,20,796,-0.4,2009,4,3,1947,-0.6
14698,9,#N/A,42.339719,-75.24676698,5.88,42954,70,20.2,1484,-0.4,2016,4,3,1972,-0.6
14699,9,#N/A,42.03913697,-75.06741998,6.23,43405,256,22,6144,-0.4,2016,12,3,1992,-0.6
14700,5,#N/A,42.03436796,-79.56546498,7,42844,34,24,928,-0.4,2013,2,19,2002,-0.5
14701,9,#N/A,42.679584,-74.48822597,4.16,43194,28,29.8,1120,-0.4,2017,6,6,1968,-0.7
14702,7,#N/A,44.32260098,-75.41385699,6.5,43313,71,24,1782,-0.4,2013,4,11,1961,-0.5
14703,7,#N/A,43.73313798,-76.13025397,6,43361,21,0,1890,-0.4,2014,4,19,1973,-0.5
14704,7,#N/A,44.10914904,-76.26758404,7,43363,29,28,1291,-0.4,2015,2,8,2010,-0.5
14705,6,#N/A,42.07578096,-77.85194997,6.84,43391,30,23.9,783,-0.4,2010,8,2,1977,-0.6
14706,3,#N/A,42.99917299,-76.072265,6.61,43377,53,26.2,1568,-0.4,2014,6,6,1957,0.1
14707,3,#N/A,42.88964703,-76.08577396,6.47,43292,36,26,1008,-0.4,2010,6,6,1954,0.1
14708,1,#N/A,43.79962499,-73.94798194,4.39,43326,62,26.3,1750,-0.4,2010,4,3,1977,-0.6
14709,7,#N/A,44.17237402,-75.31721803,5,42963,43,0,3010,-0.4,2015,4,19,1969,-0.5
14710,9,#N/A,42.68965703,-75.86724794,6.57,42914,32,26,896,-0.4,2016,2,6,2003,-0.6
14711,9,#N/A,42.40438998,-76.045915,5.6,43312,76,26.5,2204,-0.4,2014,4,3,1967,-0.4
14712,9,#N/A,42.65647204,-74.696133,6.19,43234,62,24,1612,-0.4,2014,4,3,1988,-0.6
14713,6,#N/A,42.24764001,-77.69702598,6.58,43032,55,28,1601,-0.4,2015,8,3,1987,-0.5
14714,3,#N/A,43.07826299,-76.22768402,5.71,43209,94,33.3,3400,-0.4,2011,4,3,1975,0.1
14715,3,#N/A,43.49293899,-76.12139297,5.55,43273,127,30,4470,-0.4,2016,4,3,1961,-0.5
14716,7,#N/A,44.12867702,-74.54486299,5.07,42912,82,20,2009,-0.4,2015,2,12,1925,-0.5
14717,3,#N/A,43.49248896,-76.11953703,5.03,43257,128,30,4506,-0.4,2016,4,3,1961,-0.5
14718,1,#N/A,42.61143798,-74.15605698,6.14,43234,78,24,2028,-0.4,2016,6,6,1973,-0.2
14719,5,#N/A,42.40366401,-78.61229405,3.21,43410,25,17.5,475,-0.4,2013,4,3,1926,-0.6
14720,5,#N/A,42.13969704,-79.44635475,6.36,43424,30,25.5,840,-0.4,2013,2,8,2010,-0.5
14721,5,#N/A,42.139825,-79.43349695,7,42879,35,27.9,1050,-0.4,2013,2,19,1996,-0.5
14722,5,#N/A,42.13982901,-79.43892699,7,43059,30,25.8,846,-0.4,2013,2,19,2009,-0.5
14723,5,#N/A,42.33704896,-79.07172102,5.45,43201,43,20,873,-0.4,2016,4,3,1930,-0.5
14724,6,#N/A,42.51362697,-77.70863595,5.69,43223,84,24,2058,-0.4,2010,4,3,1996,-0.5
14725,1,#N/A,43.47583798,-73.84652197,5.64,42907,27,24.3,707,-0.4,2014,8,2,1964,-0.6
14726,2,#N/A,43.11523904,-75.66671199,0,36348,127,22,3500,-0.4,1994,4,11,1929,-0.3
14727,3,#N/A,42.41091903,-76.60753801,4.7,42985,53,19,1100,-0.4,2016,4,4,1955,-0.5
14728,1,#N/A,42.68659302,-73.43320104,4,43265,23,28.3,700,-0.4,2016,3,19,1989,-0.4
14729,5,#N/A,42.32558897,-79.05643394,6.78,42985,39,28.6,1221,-0.4,2016,4,3,2001,-0.6
14730,5,#N/A,42.32594698,-79.05161794,5.73,43013,54,24.7,1371,-0.4,2016,4,3,1985,-0.6
